from,to,from_alt,to_alt,playername,transfersumme,weight,transfertype,season,year,transferfenster,ligaintern,transferid
GER2,VFB,Eintracht Braunschweig,VfB Stuttgart,Ermin Bicakcic,100000,2,1,1112,2012,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/51676/transfer_id/668940
GER2,BMG,Hertha BSC,Borussia Moenchengladbach,Elias Kachunga,100000,2,2,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/49501/transfer_id/734589
GER2,BVB,FC St. Pauli,Borussia Dortmund,Daniel Ginczek,100000,2,2,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/79501/transfer_id/730115
GER2,BVB,MSV Duisburg,Borussia Dortmund,Julian Koch,100000,2,2,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/53534/transfer_id/715636
GER2,H96,FC St. Pauli,Hannover 96,Christopher Avevor,100000,2,2,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/94174/transfer_id/788913
GER2,M05,1.FC Koeln,1.FSV Mainz 05,Anthony Ujah,100000,2,2,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/142281/transfer_id/778058
GER2,S04,SC Paderborn 07,FC Schalke 04,Philipp Hofmann,100000,2,2,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/119037/transfer_id/760093
GER2,WOL,VfL Bochum,VfL Wolfsburg,Kevin Scheidhauer,100000,2,2,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/94205/transfer_id/721119
GER2,BRE,SpVgg Greuther Fuerth,SV Werder Bremen,Niclas Fuellkrug,100.000,2,2,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/75489/transfer_id/937045
GER2,FCA,Fortuna Duesseldorf,FC Augsburg,Aristide Bance,100.000,2,2,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/15486/transfer_id/943024
GER2,TSG,FC St. Pauli,TSG 1899 Hoffenheim,Michael Gregoritsch,100.000,2,2,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/120205/transfer_id/880033
GER2,BRE,FC St. Pauli,SV Werder Bremen,Tom Trybull,100.000,2,1,1314,2014,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/93831/transfer_id/992975
GER2,BMG,1.FC Kaiserslautern,Borussia Moenchengladbach,Amin Younes,100.000,2,2,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/96167/transfer_id/1116032
GER2,KOE,SpVgg Greuther Fuerth,1.FC Koeln,Kacper Przybylko,100.000,2,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/86030/transfer_id/1065031
GER2,FCA,1.FC Kaiserslautern,FC Augsburg,Erik Thommy,100.000,2,2,1415,2015,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/156779/transfer_id/1170678
GER2,H96,FSV Frankfurt,Hannover 96,Florian Ballas,100.000,2,1,1415,2015,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/110885/transfer_id/1167876
GER2,VFB,1.FC Nuernberg,VfB Stuttgart,Thorsten Kirschbaum,100000,2,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/38346/transfer_id/1273962
GER2,BVB,SC Freiburg,Borussia Dortmund,Pascal Stenzel,100000,2,2,1516,2016,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/195246/transfer_id/1422291
GER2,HSV,SpVgg Greuther Fuerth,Hamburger SV,Ronny Marcos,100000,2,1,1516,2016,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/159037/transfer_id/1401179
GER2,HSV,1.FC Nuernberg,Hamburger SV,Zoltan Stieber,100000,2,2,1516,2016,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/61591/transfer_id/1410721
GER2,M05,SC Freiburg,1.FSV Mainz 05,Florian Niederlechner,100000,2,2,1516,2016,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/152963/transfer_id/1423756
GER2,BMG,Fortuna Duesseldorf,Borussia Moenchengladbach,Marlon Ritter,100.000,2,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/151636/transfer_id/1503626
GER2,SCF,1.FC Heidenheim 1846,SC Freiburg,Tim Kleindienst,100000,2,2,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/193033/transfer_id/1511798
GER2,BRE,1.FC Heidenheim 1846,SV Werder Bremen,Marnon Busch,100.000,2,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/117478/transfer_id/1787833
GER2,VFB,Fortuna Duesseldorf,VfB Stuttgart,Jean Zimmer,100.000,2,2,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/118196/transfer_id/1874154
